Sample,cpd00254,cpd00063,cpd00205,cpd00034,cpd00030,cpd00149,cpd19013,cpd10515,cpd00058,cpd00099,cpd00048,cpd00009,cpd09225,cpd11574,cpd00131,cpd00547,cpd00104,cpd00393,cpd00263,cpd00220,cpd00218,cpd03424,cpd00541,cpd19112,cpd00971,cpd00244,cpd00443,cpd01079,cpd03387,cpd00305,cpd15574,cpd00240,cpd00067,cpd10393,cpd00074,cpd00011,cpd11640
Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mg,Ca2+,K+,Zn2+,Mn2+,Co2+,NH4+,Fe+2,Cu2+,Cl-,Sulfate,Phosphate,Boric acid,Molybdate,Molybdenum,Cysteine,BIOT,Folate,Pyridoxol,Riboflavin,Niacin,Vitamin B12,Lipoate,Calcium pantothenate,Na+,Ni2+,ABEE,Selenium,Selenite,Thiamin,tungstate,EDTA,H+,Triglycollamic acid,S,CO2,H2
10AB,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006217056529232805,0.006203670003601757,0.0062107850034155985,0.0062047416009387065,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006207245855994047,0.006201405736401184,0.006201405736401184,0.00620476668982324,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006201405736401184,0.006301091251606722,0.0062498879442819885
A34,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004958778296846938,0.00494782976218133,0.0049536331609867645,0.004948721707539824,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.0049460468356940365,0.004946046835694027,0.004950729760854378,0.004946046835694027,0.004946046835694027,0.0049487217075396064,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.004946046835694027,0.005036137898524209,0.004946046835693144
B34,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005063536678703101,0.0050523568469908,0.005058282847500067,0.005053267635448716,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674829,0.005050536254674819,0.005055318110586412,0.005050536254674819,0.005050536254674819,0.0050532676354484935,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.005050536254674819,0.0051425305673372815,0.005050536254673918
C3,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.033188285103684385,0.033116493175199345,0.035049434192857436,0.033122417197973604,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503575,0.03310467129503577,0.033135636887148094,0.03310467129503577,0.03310467129503577,0.033169729703874426,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03310467129503577,0.03365117435084212,0.033151800876718
D34,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023651238715387757,0.023599930307209423,0.02560503145923487,0.023604156500493637,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011222,0.023591494619011232,0.023613599085790256,0.023591494619011232,0.023591494619011232,0.02363319742483159,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.023591494619011232,0.02398653350708739,0.02362042326249846
E34,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.029005865320212057,0.028943032694927835,0.02901552788097018,0.02894821286994305,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826686,0.028932694044826696,0.028959779630525623,0.028932694044826696,0.028932694044826696,0.028986759417541273,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.028932694044826696,0.029413671992154593,0.028971091560007864
F34,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012590019563358718,0.012150271525353924,0.05462200685088214,0.01215243177488307,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.01214596631535499,0.012145966315355024,0.012157218375997638,0.012145966315355024,0.012145966315355024,0.012183445665244558,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012145966315355024,0.012330171936062343,0.012176860296794104
G12,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004976562023371148,0.00496699191918633,0.007016411754794314,0.004967843504987766,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255822,0.004965308536255895,0.004969648817890355,0.004965308536255895,0.004965308536255895,0.005013017510455538,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.004965308536255895,0.00500181316126359,0.005010307885587327
